University,Program-Code,Program-Major-Name,Field-Type,First-Cap,Second-Cap,Female-Cap,Male-Cap,Description
مخصوص داوطلبان بومي استان قزوين,2381,دبيري رياضي,,7,-,ـــ,مرد,پرديس شهيد مفتح-شهرري
مخصوص داوطلبان بومي استان قم,2382,دبيري رياضي,,2,-,زن,ـــ,پرديس الزهرا)س( ـ زنجان
مخصوص داوطلبان بومي استان قم,2383,دبيري فيزيك,,9,-,ـــ,مرد,پرديس حكيم ابوالقاسم فردوسي ـ كرج
مخصوص داوطلبان بومي استان قم,2384,دبيري رياضي,,7,-,ـــ,مرد,پرديس شهيد مقصودي-همدان
مخصوص داوطلبان بومي استان قم,2385,دبيري فيزيك,,4,-,زن,ـــ,پرديس شهيد هاشمينژاد ـ مشهد
مخصوص داوطلبان بومي استان كردستان,2386,دبيري رياضي,,7,-,ـــ,مرد,پرديس شهيد رجايي ـ اروميه
مخصوص داوطلبان بومي استان كردستان,2387,دبيري فيزيك,,8,-,ـــ,مرد,پرديس شهيد رجايي ـ اروميه
مخصوص داوطلبان بومي استان كردستان,2388,دبيري رياضي,,2,-,زن,ـــ,پرديس علامه طباطبايي ـ اروميه
مخصوص داوطلبان بومي استان كردستان,2389,دبيري فيزيك,,1,-,زن,ـــ,پرديس فاطمه الزهرا)س(   ـ تبريز
مخصوص داوطلبان بومي استان كرمان,2390,دبيري رياضي,,22,-,ـــ,مرد,پرديس خواجه نصيرالدين طوسي ـ كرمان
مخصوص داوطلبان بومي استان كرمان,2391,دبيري فيزيك,,25,-,ـــ,مرد,پرديس خواجه نصيرالدين طوسي ـ كرمان
مخصوص داوطلبان بومي استان كرمان,2392,دبيري فيزيك,,15,-,زن,ـــ,پرديس شهيد باهنر ـ شيراز
مخصوص داوطلبان بومي استان كرمان,2393,دبيري رياضي,,11,-,زن,ـــ,پرديس شهيد باهنر ـ كرمان
مخصوص داوطلبان بومي استان كرمان,2394,دبيري فيزيك,,8,-,ـــ,مرد,پرديس شهيد مطهري ـ زاهدان
مخصوص داوطلبان بومي استان كرمانشاه,2395,دبيري رياضي,,5,-,زن,ـــ,پرديس الزهرا)س( ـ زنجان
